Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,DOC_ave,DOC_sd,TOC_ave,TOC_sd,PTOC_ave,PTOC_sd,PDOC_ave,PDOC_sd
AT34,4,200,DA,8,Control,Control-A,912,59.9,0.3,,,,,,
AT34,4,200,DA,9,Control,Control-A,1392,57.8,1.8,,,,,,
AT34,4,200,DA,10,Control,Control-A,2544,60.6,0.2,,,,,,
AT34,4,200,GF75,6,Control,Control-A,168,,,,,,,,
AT34,4,200,DB,0,Control,Control-B,0,54.1,1.1,,,,,,
AT34,4,200,DB,1,Control,Control-B,24,52.9,0.3,,,,,,
AT34,4,200,DB,2,Control,Control-B,48,,,,,,,,
AT34,4,200,DB,3,Control,Control-B,96,53.9,0.1,,,,,,
AT34,4,200,DB,4,Control,Control-B,120,,,,,,,,
AT34,4,200,DB,5,Control,Control-B,144,,,,,,,,
AT34,4,200,DB,6,Control,Control-B,168,54.8,0.8,,,,,,
AT34,4,200,DB,7,Control,Control-B,192,54.9,0.2,,,,,,
AT34,4,200,DB,8,Control,Control-B,912,60.6,0.2,,,,,,
AT34,4,200,DB,9,Control,Control-B,1392,59.1,0.8,,,,,,
AT34,4,200,DB,10,Control,Control-B,2544,61.2,0.9,,,,,,
AT34,4,200,GF75,6,Control,Control-B,168,,,,,,,,
AT34,5,10,Niskin,0,,,0,,,,,,,,
AT34,5,10,GF75,0,,,0,,,,,,,,
AT34,5,10,SA,0,Control,Control-A,0,66,0.1,,,,,,
AT34,5,10,SA,1,Control,Control-A,48,63.6,0.8,,,,,,
AT34,5,10,SA,2,Control,Control-A,72,,,,,,,,
AT34,5,10,SA,3,Control,Control-A,96,63.2,0.6,,,,,,
AT34,5,10,SA,4,Control,Control-A,120,,,,,,,,
AT34,5,10,SA,5,Control,Control-A,144,63.6,0.8,,,,,,
AT34,5,10,SA,6,Control,Control-A,888,62.8,0.5,,,,,,
AT34,5,10,SA,7,Control,Control-A,1368,61.5,0.4,,,,,,
AT34,5,10,SA,8,Control,Control-A,2496,62.8,0.3,,,,,,
AT34,5,10,GF75,5,Control,Control-A,144,,,,,,,,
AT34,5,10,SB,0,Control,Control-B,0,65.3,0,,,,,,
AT34,5,10,SB,1,Control,Control-B,48,63.5,1.2,,,,,,
AT34,5,10,SB,2,Control,Control-B,72,,,,,,,,
AT34,5,10,SB,3,Control,Control-B,96,63.1,1.2,,,,,,
AT34,5,10,SB,4,Control,Control-B,120,,,,,,,,
AT34,5,10,SB,5,Control,Control-B,144,62.5,0.3,,,,,,
AT34,5,10,SB,6,Control,Control-B,888,63.4,0.5,,,,,,
AT34,5,10,SB,7,Control,Control-B,1368,61.3,0.3,,,,,,
AT34,5,10,SB,8,Control,Control-B,2496,60.6,1.3,,,,,,
AT34,5,10,GF75,5,Control,Control-B,144,,,,,,,,
AT34,5,200,Niskin,0,,,0,,,,,,,,
AT34,5,200,GF75,0,,,0,,,,,,,,
AT34,5,200,DA,0,Control,Control-A,0,53.6,0.4,,,,,,
AT34,5,200,DA,1,Control,Control-A,48,52.7,0.4,,,,,,
AT34,5,200,DA,2,Control,Control-A,72,,,,,,,,
AT34,5,200,DA,3,Control,Control-A,96,53.4,0.1,,,,,,
AT34,5,200,DA,4,Control,Control-A,120,,,,,,,,
AT34,5,200,DA,5,Control,Control-A,144,53.9,0.3,,,,,,
AT34,5,200,DA,6,Control,Control-A,888,58.9,0.6,,,,,,
AT34,5,200,DA,7,Control,Control-A,1368,56.4,0.1,,,,,,
AT34,5,200,DA,8,Control,Control-A,2496,60.7,2,,,,,,
AT34,5,200,GF75,5,Control,Control-A,144,,,,,,,,
AT34,5,200,DB,0,Control,Control-B,0,53.2,0.2,,,,,,
AT34,5,200,DB,1,Control,Control-B,48,53.7,1.7,,,,,,
AT34,5,200,DB,2,Control,Control-B,72,,,,,,,,
AT34,5,200,DB,3,Control,Control-B,96,53.4,0.2,,,,,,
AT34,5,200,DB,4,Control,Control-B,120,,,,,,,,
AT34,5,200,DB,5,Control,Control-B,144,,,,,,,,
AT34,5,200,DB,6,Control,Control-B,888,55.3,0.1,,,,,,
AT34,5,200,DB,7,Control,Control-B,1368,54.4,0.2,,,,,,
AT34,5,200,DB,8,Control,Control-B,2496,56.1,0,,,,,,
AT34,5,200,GF75,5,Control,Control-B,144,,,,,,,,
AT38,1,5,Niskin,0,,,0,,,,,,,,
AT38,1,5,GF75,0,,,0,,,,,,,,
AT38,1,5,A,0,Control,Control-A,0,67.1,0.8,67.1,0.5,67.1,0.5,,
AT38,1,5,A,1,Control,Control-A,24,67,1,,,,,,
AT38,1,5,A,2,Control,Control-A,48,,,,,,,,
AT38,1,5,A,3,Control,Control-A,72,,,,,,,,
AT38,1,5,A,4,Control,Control-A,96,,,,,,,,
AT38,1,5,A,5,Control,Control-A,120,66.3,0.6,,,,,,
AT38,1,5,A,6,Control,Control-A,144,,,,,,,,
AT38,1,5,A,7,Control,Control-A,168,67,0.9,68,0.6,64.4,0.8,,
AT38,1,5,A,8,Control,Control-A,192,,,,,,,,
AT38,1,5,A,9,Control,Control-A,216,,,,,,,,
AT38,1,5,A,10,Control,Control-A,240,,,,,,,,
AT38,1,5,A,11,Control,Control-A,360,70,1.6,71,1.1,63.4,0,,
AT38,1,5,A,12,Control,Control-A,912,,,,,62.3,0.3,,
AT38,1,5,A,13,Control,Control-A,1656,,,,,61.5,0.1,,
AT38,1,5,GF75,7,Control,Control-A,168,,,,,,,,
AT38,1,5,B,0,Control,Control-B,0,65.4,0.2,66.8,1.2,66.8,1.2,,
AT38,1,5,B,1,Control,Control-B,24,67.2,1.1,,,,,,
AT38,1,5,B,2,Control,Control-B,48,,,,,,,,
AT38,1,5,B,3,Control,Control-B,72,,,,,,,,
AT38,1,5,B,4,Control,Control-B,96,,,,,,,,
AT38,1,5,B,5,Control,Control-B,120,66.8,0.1,,,,,,
AT38,1,5,B,6,Control,Control-B,144,,,,,,,,
AT38,1,5,B,7,Control,Control-B,168,67.1,1,67.8,0.1,64.8,0,,
AT38,1,5,B,8,Control,Control-B,192,,,,,,,,
AT38,1,5,B,9,Control,Control-B,216,,,,,,,,
AT38,1,5,B,10,Control,Control-B,240,,,,,,,,
AT38,1,5,B,11,Control,Control-B,360,69.7,0.1,70.6,0.9,63.7,0.1,,
AT38,1,5,B,12,Control,Control-B,912,,,,,61.6,0.4,,
AT38,1,5,B,13,Control,Control-B,1656,,,,,62.9,1,,
AT38,1,5,GF75,7,Control,Control-B,168,,,,,,,,
AT38,1,200,C,0,MixDS,MixDS-C,0,61.6,0.8,60.9,0.4,60.9,0.4,,
AT38,1,200,C,1,MixDS,MixDS-C,24,62.7,0.6,,,,,,
AT38,1,200,C,2,MixDS,MixDS-C,48,,,,,,,,
AT38,1,200,C,3,MixDS,MixDS-C,72,,,,,,,,
AT38,1,200,C,4,MixDS,MixDS-C,96,,,,,,,,
AT38,1,200,C,5,MixDS,MixDS-C,120,64.2,0,,,,,,
AT38,1,200,C,6,MixDS,MixDS-C,144,,,,,,,,
AT38,1,200,C,7,MixDS,MixDS-C,168,62.8,1.1,63.4,0.4,61.1,1,,
AT38,1,200,C,8,MixDS,MixDS-C,192,,,,,,,,
AT38,1,200,C,9,MixDS,MixDS-C,216,,,,,,,,
AT38,1,200,C,10,MixDS,MixDS-C,240,63.1,0.6,63.9,0.5,60.9,0.8,,
AT38,1,200,C,11,MixDS,MixDS-C,360,61.9,0.1,63.1,0.3,,,,
AT38,1,200,C,12,MixDS,MixDS-C,912,,,,,59.1,1.8,,
AT38,1,200,C,13,MixDS,MixDS-C,1656,,,,,57.9,1.4,,
AT38,1,200,GF75,10,MixDS,MixDS-C,240,,,,,,,,
AT38,1,200,D,0,MixDS,MixDS-D,0,62.6,0.5,61.9,0.9,61.9,0.9,,
AT38,1,200,D,1,MixDS,MixDS-D,24,64.4,1,,,,,,
AT38,1,200,D,2,MixDS,MixDS-D,48,,,,,,,,
AT38,1,200,D,3,MixDS,MixDS-D,72,,,,,,,,
AT38,1,200,D,4,MixDS,MixDS-D,96,,,,,,,,
AT38,1,200,D,5,MixDS,MixDS-D,120,64,0.4,,,,,,
AT38,1,200,D,6,MixDS,MixDS-D,144,,,,,,,,
AT38,1,200,D,7,MixDS,MixDS-D,168,64.8,0.7,65.9,3.1,62.1,0.1,,
AT38,1,200,D,8,MixDS,MixDS-D,192,,,,,,,,
AT38,1,200,D,9,MixDS,MixDS-D,216,,,,,,,,
AT38,1,200,D,10,MixDS,MixDS-D,240,64.9,0.3,64.8,0.1,62.2,0.3,,
AT38,1,200,D,11,MixDS,MixDS-D,360,61.8,1.3,64.2,0.5,,,,
AT38,1,200,D,12,MixDS,MixDS-D,912,,,,,59.5,0.7,,
AT38,1,200,D,13,MixDS,MixDS-D,1656,,,,,59.7,0.3,,
AT38,1,200,GF75,10,MixDS,MixDS-D,240,,,,,,,,
AT38,1,200,Niskin,0,,,0,,,,,,,,
AT38,1,200,GF75,0,,,0,,,,,,,,
AT38,1,200,E,0,Control,Control-E,0,53.8,0.5,54.5,0.5,54.5,0.5,,
AT38,1,200,E,1,Control,Control-E,24,54.2,1,,,,,,
AT38,1,200,E,2,Control,Control-E,48,,,,,,,,
AT38,1,200,E,3,Control,Control-E,72,,,,,,,,
AT38,1,200,E,4,Control,Control-E,96,,,,,,,,
AT38,1,200,E,5,Control,Control-E,120,55.9,0.4,,,,,,
AT38,1,200,E,6,Control,Control-E,144,,,,,,,,
AT38,1,200,E,7,Control,Control-E,168,56.1,3.4,56.1,0.3,53.5,0.7,,
AT38,1,200,E,8,Control,Control-E,192,,,,,,,,
AT38,1,200,E,9,Control,Control-E,216,,,,,,,,
AT38,1,200,E,10,Control,Control-E,240,57.3,0.5,56.5,0.5,54.5,0.6,,
AT38,1,200,E,11,Control,Control-E,360,57.4,1.2,57.5,0.9,,,,
AT38,1,200,E,12,Control,Control-E,912,,,,,52.5,0.9,,
AT38,1,200,E,13,Control,Control-E,1656,,,,,53.4,0.1,,
AT38,1,200,GF75,10,Control,Control-E,240,,,,,,,,
AT38,1,200,F,0,Control,Control-F,0,54.2,1.1,54.5,0.1,54.5,0.1,,
AT38,1,200,F,1,Control,Control-F,24,56,0,,,,,,
AT38,1,200,F,2,Control,Control-F,48,,,,,,,,
AT38,1,200,F,3,Control,Control-F,72,,,,,,,,
AT38,1,200,F,4,Control,Control-F,96,,,,,,,,
AT38,1,200,F,5,Control,Control-F,120,57.2,0.9,,,,,,
AT38,1,200,F,6,Control,Control-F,144,,,,,,,,
AT38,1,200,F,7,Control,Control-F,168,57.8,0.3,57.4,0.2,53.2,0.2,,
AT38,1,200,F,8,Control,Control-F,192,,,,,,,,
AT38,1,200,F,9,Control,Control-F,216,,,,,,,,
AT38,1,200,F,10,Control,Control-F,240,58.1,0.1,57.3,0.8,52.9,0.6,,
AT38,1,200,F,11,Control,Control-F,360,57.2,0.2,57.2,0.5,,,,
AT38,1,200,F,12,Control,Control-F,912,,,,,52.5,1,,
AT38,1,200,F,13,Control,Control-F,1656,,,,,52.4,0.6,,
AT38,1,200,GF75,10,Control,Control-F,240,,,,,,,,
AT38,1,5,G,0,MixSD,MixSD-G,0,63,0.9,63.9,0.7,63.9,0.7,,
AT38,1,5,G,1,MixSD,MixSD-G,24,65.6,0.8,,,,,,
AT38,1,5,G,2,MixSD,MixSD-G,48,,,,,,,,
AT38,1,5,G,3,MixSD,MixSD-G,72,,,,,,,,
AT38,1,5,G,4,MixSD,MixSD-G,96,,,,,,,,
AT38,1,5,G,5,MixSD,MixSD-G,120,64.3,0,,,,,,
AT38,1,5,G,6,MixSD,MixSD-G,144,,,,,,,,
AT38,1,5,G,7,MixSD,MixSD-G,168,62.6,0.5,63.2,0.6,59.5,0.3,,
AT38,1,5,G,8,MixSD,MixSD-G,192,,,,,,,,
AT38,1,5,G,9,MixSD,MixSD-G,216,,,,,,,,
AT38,1,5,G,10,MixSD,MixSD-G,240,,,,,,,,
AT38,1,5,G,11,MixSD,MixSD-G,360,60.9,0.1,62.4,0.8,59.1,0.8,,
AT38,1,5,G,12,MixSD,MixSD-G,912,,,,,57.7,1.7,,
AT38,1,5,G,13,MixSD,MixSD-G,1656,,,,,56.5,1.1,,
AT38,1,5,GF75,7,MixSD,MixSD-G,168,,,,,,,,
AT38,1,5,H,0,MixSD,MixSD-H,0,61.8,1.1,63.7,0.5,63.7,0.5,,
AT38,1,5,H,1,MixSD,MixSD-H,24,62,0.7,,,,,,
AT38,1,5,H,2,MixSD,MixSD-H,48,,,,,,,,
AT38,1,5,H,3,MixSD,MixSD-H,72,,,,,,,,
AT38,1,5,H,4,MixSD,MixSD-H,96,,,,,,,,
AT38,1,5,H,5,MixSD,MixSD-H,120,63.3,0.2,,,,,,
AT38,1,5,H,6,MixSD,MixSD-H,144,,,,,,,,
AT38,1,5,H,7,MixSD,MixSD-H,168,63,1.3,63.7,0,60.7,0.1,,
AT38,1,5,H,8,MixSD,MixSD-H,192,,,,,,,,
AT38,1,5,H,9,MixSD,MixSD-H,216,,,,,,,,
AT38,1,5,H,10,MixSD,MixSD-H,240,,,,,,,,
AT38,1,5,H,11,MixSD,MixSD-H,360,62.2,0.3,62.6,0.8,59.2,0.9,,
AT38,1,5,H,12,MixSD,MixSD-H,912,,,,,58.1,0.8,,
AT38,1,5,H,13,MixSD,MixSD-H,1656,,,,,56.8,0.1,,
AT38,1,5,GF75,7,MixSD,MixSD-H,168,,,,,,,,
AT38,1,5,I,0,SynExd,SynExd-I,0,70.9,0.9,71.7,0.7,71.7,0.7,,
AT38,1,5,I,1,SynExd,SynExd-I,24,71.6,0.2,,,,,,
AT38,1,5,I,2,SynExd,SynExd-I,48,,,,,,,,
AT38,1,5,I,3,SynExd,SynExd-I,72,,,,,,,,
AT38,1,5,I,4,SynExd,SynExd-I,96,,,,,,,,
AT38,1,5,I,5,SynExd,SynExd-I,120,69.4,0.7,70.3,0.5,69.6,0.7,,
AT38,1,5,I,6,SynExd,SynExd-I,144,,,,,,,,
AT38,1,5,I,7,SynExd,SynExd-I,168,,,,,,,,
AT38,1,5,I,8,SynExd,SynExd-I,192,,,,,,,,
AT38,1,5,I,9,SynExd,SynExd-I,216,,,,,,,,
AT38,1,5,I,10,SynExd,SynExd-I,240,,,,,,,,
AT38,1,5,I,11,SynExd,SynExd-I,360,66.3,0.9,67.5,1.1,67,1.3,,
AT38,1,5,I,12,SynExd,SynExd-I,912,,,,,64.4,0.2,,
AT38,1,5,I,13,SynExd,SynExd-I,1656,,,,,65.3,1.1,,
AT38,1,5,GF75,5,SynExd,SynExd-IJ,120,,,,,,,,
AT38,1,5,J,0,SynExd,SynExd-J,0,71.8,0.8,71.4,0.1,71.4,0.1,,
AT38,1,5,J,1,SynExd,SynExd-J,24,73.4,0.1,,,,,,
AT38,1,5,J,2,SynExd,SynExd-J,48,,,,,,,,
AT38,1,5,J,3,SynExd,SynExd-J,72,,,,,,,,
AT38,1,5,J,4,SynExd,SynExd-J,96,,,,,,,,
AT38,1,5,J,5,SynExd,SynExd-J,120,69.4,0.1,71,0.1,69.2,0.1,,
AT38,1,5,J,6,SynExd,SynExd-J,144,,,,,,,,
AT38,1,5,J,7,SynExd,SynExd-J,168,,,,,,,,
AT38,1,5,J,8,SynExd,SynExd-J,192,,,,,,,,
AT38,1,5,J,9,SynExd,SynExd-J,216,,,,,,,,
AT38,1,5,J,10,SynExd,SynExd-J,240,,,,,,,,
AT38,1,5,J,11,SynExd,SynExd-J,360,66.1,0.4,68.6,0.4,66.3,0.5,,
AT38,1,5,J,12,SynExd,SynExd-J,912,,,,,63.6,0.3,,
AT38,1,5,J,13,SynExd,SynExd-J,1656,,,,,63.2,0.6,,
AT38,1,5,GF75,5,SynExd,SynExd-J,120,,,,,,,,
AT38,1,5,K,0,TWExd,TWExd-K,0,73,0.7,73.9,0.3,73.9,0.3,,
AT38,1,5,K,1,TWExd,TWExd-K,24,74.4,0.5,,,,,,
AT38,1,5,K,2,TWExd,TWExd-K,48,,,,,,,,
AT38,1,5,K,3,TWExd,TWExd-K,72,,,,,,,,
AT38,1,5,K,4,TWExd,TWExd-K,96,,,,,,,,
AT38,1,5,K,5,TWExd,TWExd-K,120,74.5,1,75.3,0.4,72.4,0.9,,
AT38,1,5,K,6,TWExd,TWExd-K,144,,,,,,,,
AT38,1,5,K,7,TWExd,TWExd-K,168,,,,,,,,
AT38,1,5,K,8,TWExd,TWExd-K,192,,,,,,,,
AT38,1,5,K,9,TWExd,TWExd-K,216,,,,,,,,
AT38,1,5,K,10,TWExd,TWExd-K,240,,,,,,,,
AT38,1,5,K,11,TWExd,TWExd-K,360,74.7,0.6,75.6,0.5,70.4,0.2,,
AT38,1,5,K,12,TWExd,TWExd-K,912,,,,,66.3,0.1,,
AT38,1,5,K,13,TWExd,TWExd-K,1656,,,,,66.3,0.4,,
AT38,1,5,GF75,5,TWExd,TWExd-KL,120,,,,,,,,
AT38,1,5,L,0,TWExd,TWExd-L,0,73.9,0.4,74.1,0.2,74.1,0.2,,
AT38,1,5,L,1,TWExd,TWExd-L,24,75.6,1,,,,,,
AT38,1,5,L,2,TWExd,TWExd-L,48,,,,,,,,
AT38,1,5,L,3,TWExd,TWExd-L,72,,,,,,,,
AT38,1,5,L,4,TWExd,TWExd-L,96,,,,,,,,
AT38,1,5,L,5,TWExd,TWExd-L,120,74.7,0.1,75.4,0.1,71.5,0.5,,
AT38,1,5,L,6,TWExd,TWExd-L,144,,,,,,,,
AT38,1,5,L,7,TWExd,TWExd-L,168,,,,,,,,
AT38,1,5,L,8,TWExd,TWExd-L,192,,,,,,,,
AT38,1,5,L,9,TWExd,TWExd-L,216,,,,,,,,
AT38,1,5,L,10,TWExd,TWExd-L,240,,,,,,,,
AT38,1,5,L,11,TWExd,TWExd-L,360,72.7,0.7,73.2,1,69.6,0.5,,
AT38,1,5,L,12,TWExd,TWExd-L,912,,,,,66.2,0.4,,
AT38,1,5,L,13,TWExd,TWExd-L,1656,,,,,67.9,0.3,,
AT38,1,5,GF75,5,TWExd,TWExd-L,120,,,,,,,,
AT38,1,5,M,0,SynLys,SynLys-M,0,74.4,0.6,73.6,1.4,73.6,1.4,,
AT38,1,5,M,1,SynLys,SynLys-M,24,73.3,0.1,,,,,,
AT38,1,5,M,2,SynLys,SynLys-M,48,,,,,,,,
AT38,1,5,M,3,SynLys,SynLys-M,72,,,,,,,,
AT38,1,5,M,4,SynLys,SynLys-M,96,,,,,,,,
AT38,1,5,M,5,SynLys,SynLys-M,120,69.5,0.5,70.3,0.3,68.6,0.8,,
AT38,1,5,M,6,SynLys,SynLys-M,144,,,,,,,,
AT38,1,5,M,7,SynLys,SynLys-M,168,,,,,,,,
AT38,1,5,M,8,SynLys,SynLys-M,192,,,,,,,,
AT38,1,5,M,9,SynLys,SynLys-M,216,,,,,,,,
AT38,1,5,M,10,SynLys,SynLys-M,240,,,,,,,,
AT38,1,5,M,11,SynLys,SynLys-M,360,69,2.2,68.5,1.3,65.9,0.5,,
AT38,1,5,M,12,SynLys,SynLys-M,912,,,,,65,0.4,,
AT38,1,5,M,13,SynLys,SynLys-M,1656,,,,,63.7,1.4,,
AT38,1,5,GF75,5,SynLys,SynLys-MN,120,,,,,,,,
AT38,1,5,N,0,SynLys,SynLys-N,0,72.6,0.8,73.2,0.7,73.2,0.7,,
AT38,1,5,N,1,SynLys,SynLys-N,24,74.7,1.5,,,,,,
AT38,1,5,N,2,SynLys,SynLys-N,48,,,,,,,,
AT38,1,5,N,3,SynLys,SynLys-N,72,,,,,,,,
AT38,1,5,N,4,SynLys,SynLys-N,96,,,,,,,,
AT38,1,5,N,5,SynLys,SynLys-N,120,69.2,0.6,70.9,0.2,69.8,0.1,,
AT38,1,5,N,6,SynLys,SynLys-N,144,,,,,,,,
AT38,1,5,N,7,SynLys,SynLys-N,168,,,,,,,,
AT38,1,5,N,8,SynLys,SynLys-N,192,,,,,,,,
AT38,1,5,N,9,SynLys,SynLys-N,216,,,,,,,,
AT38,1,5,N,10,SynLys,SynLys-N,240,,,,,,,,
AT38,1,5,N,11,SynLys,SynLys-N,360,70.4,1.3,70.4,0.4,68.5,0.4,,
AT38,1,5,N,12,SynLys,SynLys-N,912,,,,,67.3,0.8,,
AT38,1,5,N,13,SynLys,SynLys-N,1656,,,,,64.6,0.1,,
AT38,1,5,GF75,5,SynLys,SynLys-N,120,,,,,,,,
AT38,1,200,O,0,SynLys,SynLys-O,0,61.2,0.2,60.2,0.9,60.2,0.9,,
AT38,1,200,O,1,SynLys,SynLys-O,24,60.7,0.2,,,,,,
AT38,1,200,O,2,SynLys,SynLys-O,48,,,,,,,,
AT38,1,200,O,3,SynLys,SynLys-O,72,,,,,,,,
AT38,1,200,O,4,SynLys,SynLys-O,96,,,,,,,,
AT38,1,200,O,5,SynLys,SynLys-O,120,59.6,0.5,59.6,0.9,58.5,0.1,,
AT38,1,200,O,6,SynLys,SynLys-O,144,,,,,,,,
AT38,1,200,O,7,SynLys,SynLys-O,168,,,,,,,,
AT38,1,200,O,8,SynLys,SynLys-O,192,,,,,,,,
AT38,1,200,O,9,SynLys,SynLys-O,216,,,,,,,,
AT38,1,200,O,10,SynLys,SynLys-O,240,,,,,,,,
AT38,1,200,O,11,SynLys,SynLys-O,360,61.2,1.5,63,0.3,57.8,1,,
AT38,1,200,O,12,SynLys,SynLys-O,912,,,,,56.8,0.1,,
AT38,1,200,O,13,SynLys,SynLys-O,1656,,,,,57.3,0.2,,
AT38,1,200,GF75,5,SynLys,SynLys-OP,120,,,,,,,,
AT38,1,200,P,0,SynLys,SynLys-P,0,60.1,0.3,60.3,0.7,60.3,0.7,,
AT38,1,200,P,1,SynLys,SynLys-P,24,60.2,0.7,,,,,,
AT38,1,200,P,2,SynLys,SynLys-P,48,,,,,,,,
AT38,1,200,P,3,SynLys,SynLys-P,72,,,,,,,,
AT38,1,200,P,4,SynLys,SynLys-P,96,,,,,,,,
AT38,1,200,P,5,SynLys,SynLys-P,120,57.8,0.6,58.4,0,57.1,0.6,,
AT38,1,200,P,6,SynLys,SynLys-P,144,,,,,,,,
AT38,1,200,P,7,SynLys,SynLys-P,168,,,,,,,,
AT38,1,200,P,8,SynLys,SynLys-P,192,,,,,,,,
AT38,1,200,P,9,SynLys,SynLys-P,216,,,,,,,,
AT38,1,200,P,10,SynLys,SynLys-P,240,,,,,,,,
AT38,1,200,P,11,SynLys,SynLys-P,360,56.7,0.4,57.7,0.1,55.6,0,,
AT38,1,200,P,12,SynLys,SynLys-P,912,,,,,56,0.7,,
AT38,1,200,P,13,SynLys,SynLys-P,1656,,,,,55.7,0.4,,
AT38,1,200,GF75,5,SynLys,SynLys-P,120,,,,,,,,
AT38,2,5,Niskin,0,,,0,,,,,,,,
AT38,2,5,GF75,0,,,0,,,,,,,,
AT38,2,5,A,0,Control,Control-A,0,74.1,0,75.3,2.1,75.3,2.1,,
AT38,2,5,A,1,Control,Control-A,24,72.8,0.6,,,,,,
AT38,2,5,A,2,Control,Control-A,48,,,,,,,,
AT38,2,5,A,3,Control,Control-A,72,,,,,,,,
AT38,2,5,A,4,Control,Control-A,96,,,,,,,,
AT38,2,5,A,5,Control,Control-A,120,74.1,1.8,,,,,,
AT38,2,5,A,6,Control,Control-A,144,,,,,,,,
AT38,2,5,A,7,Control,Control-A,168,74.2,1.3,74.8,0.5,73.6,1.5,,
AT38,2,5,A,8,Control,Control-A,192,,,,,,,,
AT38,2,5,A,9,Control,Control-A,216,,,,,,,,
AT38,2,5,A,10,Control,Control-A,240,,,,,,,,
AT38,2,5,A,11,Control,Control-A,264,,,,,,,,
AT38,2,5,A,12,Control,Control-A,360,73.6,0.7,75.5,0.2,71.8,0.1,,
AT38,2,5,A,13,Control,Control-A,888,,,,,70.6,0.2,,
AT38,2,5,A,14,Control,Control-A,1632,,,,,70.1,1.7,,
AT38,2,5,GF75,7,Control,Control-A,168,,,,,,,,
AT38,2,5,B,0,Control,Control-B,0,73.2,0.8,74.2,0.7,74.2,0.7,,
AT38,2,5,B,1,Control,Control-B,24,75.7,1.7,,,,,,
AT38,2,5,B,2,Control,Control-B,48,,,,,,,,
AT38,2,5,B,3,Control,Control-B,72,,,,,,,,
AT38,2,5,B,4,Control,Control-B,96,,,,,,,,
AT38,2,5,B,5,Control,Control-B,120,75.1,0.6,,,,,,
AT38,2,5,B,6,Control,Control-B,144,,,,,,,,
AT38,2,5,B,7,Control,Control-B,168,73.9,0.8,74.7,0.1,72.7,,,
AT38,2,5,B,8,Control,Control-B,192,,,,,,,,
AT38,2,5,B,9,Control,Control-B,216,,,,,,,,
AT38,2,5,B,10,Control,Control-B,240,,,,,,,,
AT38,2,5,B,11,Control,Control-B,264,,,,,,,,
AT38,2,5,B,12,Control,Control-B,360,73.4,0.9,73.8,1.3,72.1,1.2,,
AT38,2,5,B,13,Control,Control-B,888,,,,,69.5,1.3,,
AT38,2,5,B,14,Control,Control-B,1632,,,,,67.8,0.2,,
AT38,2,5,GF75,7,Control,Control-B,168,,,,,,,,
AT38,3,5,Niskin,0,,,0,,,,,,,,
AT38,3,5,GF75,0,,,0,,,,,,,,
AT38,3,5,A,0,Control,Control-A,0,67.9,1.6,69.5,0.8,69.5,0.8,,
AT38,3,5,A,1,Control,Control-A,24,68,2.2,,,,,,
AT38,3,5,A,2,Control,Control-A,48,,,,,,,,
AT38,3,5,A,3,Control,Control-A,72,,,,,,,,
AT38,3,5,A,4,Control,Control-A,96,,,,,,,,
AT38,3,5,A,5,Control,Control-A,120,70.5,0.8,69.9,0.8,67.4,1.9,,
AT38,3,5,A,6,Control,Control-A,144,,,,,,,,
AT38,3,5,A,7,Control,Control-A,168,,,,,,,,
AT38,3,5,A,8,Control,Control-A,192,,,,,,,,
AT38,3,5,A,9,Control,Control-A,216,,,,,,,,
AT38,3,5,A,10,Control,Control-A,240,,,,,,,,
AT38,3,5,A,11,Control,Control-A,336,69.5,1,69.4,1.1,66.5,0.9,,
AT38,3,5,A,12,Control,Control-A,840,,,,,64.4,0.8,,
AT38,3,5,A,13,Control,Control-A,1584,,,,,64.1,0.1,,
AT38,3,5,GF75,5,Control,Control-A,120,,,,,,,,
AT38,3,5,B,0,Control,Control-B,0,68.8,2.7,67.3,0.5,67.3,0.5,,
AT38,3,5,B,1,Control,Control-B,24,66.9,0,,,,,,
AT38,3,5,B,2,Control,Control-B,48,,,,,,,,
AT38,3,5,B,3,Control,Control-B,72,,,,,,,,
AT38,3,5,B,4,Control,Control-B,96,,,,,,,,
AT38,3,5,B,5,Control,Control-B,120,70.1,0.8,69.7,0.7,66.8,0.6,,
AT38,3,5,B,6,Control,Control-B,144,,,,,,,,
AT38,3,5,B,7,Control,Control-B,168,,,,,,,,
AT38,3,5,B,8,Control,Control-B,192,,,,,,,,
AT38,3,5,B,9,Control,Control-B,216,,,,,,,,
AT38,3,5,B,10,Control,Control-B,240,,,,,,,,
AT38,3,5,B,11,Control,Control-B,336,68.1,0.4,69.5,0.2,64.8,0,,
AT38,3,5,B,12,Control,Control-B,840,,,,,64.3,0.5,,
AT38,3,5,B,13,Control,Control-B,1584,,,,,63.8,0.5,,
AT38,3,5,GF75,5,Control,Control-B,120,,,,,,,,
AT38,3,5,C,0,SynLys,SynLys-C,0,71.9,0.8,72,1.8,72,1.8,,
AT38,3,5,C,1,SynLys,SynLys-C,24,70.9,0.4,,,,,,
AT38,3,5,C,2,SynLys,SynLys-C,48,,,,,,,,
AT38,3,5,C,3,SynLys,SynLys-C,72,,,,,,,,
AT38,3,5,C,4,SynLys,SynLys-C,96,,,,,,,,
AT38,3,5,C,5,SynLys,SynLys-C,120,68.2,1,70.4,2,66.7,0.6,,
AT38,3,5,C,6,SynLys,SynLys-C,144,,,,,,,,
