Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,DOC_ave,DOC_sd,TOC_ave,TOC_sd,PTOC_ave,PTOC_sd,PDOC_ave,PDOC_sd
AT34,U,5,B,10,Control,Control-B,216,73.9,0.7,,,,,,
AT34,U,5,B,11,Control,Control-B,240,,,,,,,,
AT34,U,5,B,12,Control,Control-B,336,73.3,0.2,,,,,,
AT34,U,5,B,13,Control,Control-B,504,70.9,0.1,,,,,,
AT34,U,5,B,14,Control,Control-B,1248,71.6,0.5,,,,,,
AT34,U,5,B,15,Control,Control-B,1728,71.7,0.5,,,,,,
AT34,U,5,B,16,Control,Control-B,2856,73.4,0.1,,,,,,
AT34,U,5,GF75,10,Control,Control-B,216,,,,,,,,
AT34,1,10,Niskin,0,,,0,,,,,,,,
AT34,1,10,GF75,0,,,0,,,,,,,,
AT34,1,10,SA,0,Control,Control-A,0,55.2,0.2,,,,,,
AT34,1,10,SA,1,Control,Control-A,24,54.1,0.7,,,,,,
AT34,1,10,SA,2,Control,Control-A,48,,,,,,,,
AT34,1,10,SA,3,Control,Control-A,72,53.6,0,,,,,,
AT34,1,10,SA,4,Control,Control-A,96,,,,,,,,
AT34,1,10,SA,5,Control,Control-A,120,,,,,,,,
AT34,1,10,SA,6,Control,Control-A,144,52.6,0.7,,,,,,
AT34,1,10,SA,7,Control,Control-A,168,,,,,,,,
AT34,1,10,SA,8,Control,Control-A,192,52.3,1.1,,,,,,
AT34,1,10,SA,9,Control,Control-A,216,,,,,,,,
AT34,1,10,SA,10,Control,Control-A,240,,,,,,,,
AT34,1,10,SA,11,Control,Control-A,264,,,,,,,,
AT34,1,10,SA,12,Control,Control-A,312,51.8,1.1,,,,,,
AT34,1,10,SA,13,Control,Control-A,,,,,,,,,
AT34,1,10,SA,14,Control,Control-A,336,,,,,,,,
AT34,1,10,SA,15,Control,Control-A,408,,,,,,,,
AT34,1,10,SA,16,Control,Control-A,1152,56.3,0.4,,,,,,
AT34,1,10,SA,17,Control,Control-A,1632,56.5,0.2,,,,,,
