Cruise,Station,Depth,Bottle,Rep,Timepoint,Treatment,Treatment_Btl,ID,Hours,Days,BactN_µg,BactC_µg
AT34,4,10,Niskin,1,0,,,AT34410Niskin,,,1.848171651,8.71822749
AT34,4,10,Niskin,2,0,,,AT34410Niskin,,,0.867715294,2.279413195
AT34,4,200,Blank,1,0,,,AT344200Blank,,,0.653537386,2.305640135
AT34,4,200,Blank,2,0,,,AT344200Blank,,,0.707133706,2.705133493
AT34,4,200,Niskin,1,0,,,AT344200Niskin,,,1.249204966,6.500363359
AT34,4,200,Niskin,2,0,,,AT344200Niskin,,,0.730095478,2.025096153
AT34,4,200,DA,1,7,Control,Control-A,AT344200DA,,,1.313393489,5.605244318
AT34,4,200,DA,2,7,Control,Control-A,AT344200DA,,,0.83297305,2.752274244
AT34,4,200,DB,1,7,Control,Control-B,AT344200DB,,,1.608039215,8.183244534
AT34,4,200,DB,2,7,Control,Control-B,AT344200DB,,,0.596524226,3.652898602
AT34,4,10,SA,1,6,Control,Control-A,AT34410SA,,,1.534997093,9.494667469
AT34,4,10,SA,2,6,Control,Control-A,AT34410SA,,,0.898856679,4.342885106
AT34,4,10,SB,1,6,Control,Control-B,AT34410SB,,,3.22476556,10.31203839
AT34,4,10,SB,2,6,Control,Control-B,AT34410SB,,,0.848874738,3.951949685
AT34,5,10,Blank,1,0,,,AT34510Blank,,,0.1,4.114910848
AT34,5,10,Blank,2,0,,,AT34510Blank,,,0.1,2.12699344
AT34,5,10,Niskin,1,0,,,AT34510Niskin,,,2.622508116,19.67558659
AT34,5,10,Niskin,2,0,,,AT34510Niskin,,,0.064461216,4.580263319
AT34,5,200,Blank,1,0,,,AT345200Blank,,,0.1,2.612606616
AT34,5,200,Blank,2,0,,,AT345200Blank,,,0.1,3.08749934
AT34,5,200,Niskin,1,0,,,AT345200Niskin,,,0.1,4.899329511
AT34,5,200,Niskin,2,0,,,AT345200Niskin,,,0.1,2.386835001
AT34,5,200,DA,1,5,Control,Control-A,AT345200DA,,,1.379951073,5.728534074
AT34,5,200,DA,2,5,Control,Control-A,AT345200DA,,,0.425934789,3.461188576
AT34,5,200,DB,1,5,Control,Control-B,AT345200DB,,,0.990150224,5.756155689
AT34,5,200,DB,2,5,Control,Control-B,AT345200DB,,,0.883920385,3.232058934
AT34,5,10,SA,1,5,Control,Control-A,AT34510SA,,,2.69425389,12.79188398
AT34,5,10,SA,2,5,Control,Control-A,AT34510SA,,,0.609657236,4.05493979
AT34,5,10,SB,1,5,Control,Control-B,AT34510SB,,,3.111686883,12.87377363
AT34,5,10,SB,2,5,Control,Control-B,AT34510SB,,,1.443412109,5.43588423
AT38,1,10,A,1,7,Control,Control-A,AT38110A,,,2.9,22.9
AT38,1,10,A,2,7,Control,Control-A,AT38110A,,,0.1,3.8
AT38,1,10,B,1,7,Control,Control-B,AT38110B,,,3,25.4
AT38,1,10,B,2,7,Control,Control-B,AT38110B,,,0.1,9.4
AT38,1,10,C,1,10,MixDS,MixDS-C,AT38110C,,,5.9,25.3
AT38,1,10,C,2,10,MixDS,MixDS-C,AT38110C,,,,3.9
AT38,1,10,D,1,10,MixDS,MixDS-D,AT38110D,,,5.8,26.8
AT38,1,10,D,2,10,MixDS,MixDS-D,AT38110D,,,0.1,4.2
AT38,1,10,JI,1,5,SynExd,SynExd-JI,AT38110JI,,,9.7,51.7
AT38,1,10,JI,2,5,SynExd,SynExd-JI,AT38110JI,,,1.8,9.5
AT38,1,10,LK,1,5,TWExd,TWExd-LK,AT38110LK,,,5.1,39.2
AT38,1,10,LK,2,5,TWExd,TWExd-LK,AT38110LK,,,0.4,16.3
AT38,1,10,MN,1,5,SynLys,SynLys-MN,AT38110MN,,,19.2,89.2
AT38,1,10,MN,2,5,SynLys,SynLys-MN,AT38110MN,,,0.2,15.8
AT38,1,10,Niskin,1,0,,,AT38110Niskin,,,0.4,8.3
AT38,1,10,Niskin,2,0,,,AT38110Niskin,,,0.1,4.7
AT38,1,200,E,1,10,Control,Control-E,AT381200E,,,3.5,16.8
AT38,1,200,E,2,10,Control,Control-E,AT381200E,,,0.2,8.3
AT38,1,200,F,1,10,Control,Control-F,AT381200F,,,3.8,19.9
AT38,1,200,F,2,10,Control,Control-F,AT381200F,,,0.6,4.8
AT38,1,200,G,1,7,MixSD,MixSD-G,AT381200G,,,3.5,20.1
AT38,1,200,G,2,7,MixSD,MixSD-G,AT381200G,,,0.1,5.1
AT38,1,200,H,1,7,MixSD,MixSD-H,AT381200H,,,3.7,29.1
AT38,1,200,H,2,7,MixSD,MixSD-H,AT381200H,,,1.4,12.2
AT38,1,200,Niskin,1,0,,,AT381200Niskin,,,1.1,12.1
AT38,1,200,Niskin,2,0,,,AT381200Niskin,,,0.1,4.2
AT38,1,200,OP,1,5,SynLys,SynLys-OP,AT381200OP,,,14.9,60.7
AT38,1,200,OP,2,5,SynLys,SynLys-OP,AT381200OP,,,0.1,3.5
AT38,2,10,A,1,7,Control,Control-A,AT38210A,,,1.5,26.2
AT38,2,10,A,2,7,Control,Control-A,AT38210A,,,0.2,8.1
AT38,2,10,B,1,7,Control,Control-B,AT38210B,,,2.7,23.1
AT38,2,10,B,2,7,Control,Control-B,AT38210B,,,0.3,11.8
AT38,2,10,Niskin,1,0,,,AT38210Niskin,,,0.4,13.5
AT38,2,10,Niskin,2,0,,,AT38210Niskin,,,0.1,10
AT38,3,10,A,1,5,Control,Control-A,AT38310A,,,1.6,13.8
AT38,3,10,A,2,5,Control,Control-A,AT38310A,,,0.1,7.3
AT38,3,10,B,1,5,Control,Control-B,AT38310B,,,0.4,11.4
AT38,3,10,B,2,5,Control,Control-B,AT38310B,,,0.9,17
AT38,3,10,C,1,5,SynLys,SynLys-C,AT38310C,,,5.6,24.2
AT38,3,10,C,2,5,SynLys,SynLys-C,AT38310C,,,0.4,5.3
AT38,3,10,D,1,5,SynLys,SynLys-D,AT38310D,,,4.5,22.3
AT38,3,10,D,2,5,SynLys,SynLys-D,AT38310D,,,0.4,5.6
AT38,3,10,Niskin,1,0,,,AT38310Niskin,,,2.8,23.3
AT38,3,10,Niskin,2,0,,,AT38310Niskin,,,1.3,9.7
AT38,4,10,A,1,7,Control,Control-A,AT38410A,,,1.6,11.3
AT38,4,10,A,2,7,Control,Control-A,AT38410A,,,0.7,5.2
AT38,4,10,AB,1,0,Control,Control-AB,AT38410AB,,,2.2,18.2
AT38,4,10,AB,2,0,Control,Control-AB,AT38410AB,,,0.5,9.7
AT38,4,10,B,1,7,Control,Control-B,AT38410B,,,1.9,13.4
AT38,4,10,B,2,7,Control,Control-B,AT38410B,,,0.6,5
AT38,5,10,A,1,7,Control,Control-A,AT38510A,,,2.4,16.4
AT38,5,10,A,2,7,Control,Control-A,AT38510A,,,1.3,3.9
AT38,5,10,B,1,7,Control,Control-B,AT38510B,,,3.1,17.2
AT38,5,10,B,2,7,Control,Control-B,AT38510B,,,1,5.7
AT38,5,10,Niskin,1,0,,,AT38510Niskin,,,2.2,22.8
AT38,5,10,Niskin,2,0,,,AT38510Niskin,,,0.8,37
AT38,6,10,A,1,8,Control,Control-A,AT38610A,,,0.8,6.5
AT38,6,10,A,2,8,Control,Control-A,AT38610A,,,2.6,20.8
AT38,6,10,B,1,8,Control,Control-B,AT38610B,,,3.1,17
AT38,6,10,B,2,8,Control,Control-B,AT38610B,,,1,5.2
AT38,6,10,C,1,8,SynLys,SynLys-C,AT38610C,,,16.9,60.1
AT38,6,10,C,2,8,SynLys,SynLys-C,AT38610C,,,,8.6
AT38,6,10,D,1,8,SynLys,SynLys-D,AT38610D,,,11.1,52.5
AT38,6,10,D,2,8,SynLys,SynLys-D,AT38610D,,,2.4,12.3
AT38,6,10,Niskin,1,,,,AT38610Niskin,,,3.2,29
AT38,6,10,Niskin,2,,,,AT38610Niskin,,,0.6,19
AT38,U,10,100mls,1,0,,,AT38U10100mls,,,0.8,5.3
AT38,U,10,100mls,2,0,,,AT38U10100mls,,,0.8,6
AT38,U,10,1L,1,0,,,AT38U101L,,,3.1,18
AT38,U,10,1L,2,0,,,AT38U101L,,,1.1,6.2
AT38,U,10,250mls,1,0,,,AT38U10250mls,,,1.6,6.6
AT38,U,10,250mls,2,0,,,AT38U10250mls,,,0.4,4
AT38,U,10,500mls,1,0,,,AT38U10500mls,,,1.2,9.1
AT38,U,10,500mls,2,0,,,AT38U10500mls,,,1.3,4.3
AT39,1,10,A,1,8,Control,Control-A,AT39110A,,,2.7,14.2
AT39,1,10,A,2,8,Control,Control-A,AT39110A,,,0.3,4.3
AT39,1,10,B,1,8,Control,Control-B,AT39110B,,,2.1,14.7
AT39,1,10,B,2,8,Control,Control-B,AT39110B,,,0.1,4.1
AT39,1,10,Blank,1,0,,,AT39110Blank,,,0.1,3.9
AT39,1,10,Blank,2,0,,,AT39110Blank,,,0.6,3
AT39,1,10,Niskin,1,0,,,AT39110Niskin,,,0.8,6.5
AT39,1,10,Niskin,2,0,,,AT39110Niskin,,,0.1,3.4
AT39,2,10,A,1,6,Control,Control-A,AT39210A,,,1.4,9
AT39,2,10,A,2,6,Control,Control-A,AT39210A,,,0.5,4.3
AT39,2,10,B,1,6,Control,Control-B,AT39210B,,,1.6,10.5
AT39,2,10,B,2,6,Control,Control-B,AT39210B,,,0.4,4.5
AT39,2,10,Blank,1,0,,,AT39210Blank,,,0.1,5.3
AT39,2,10,Blank,2,0,,,AT39210Blank,,,0.1,2.5
AT39,2,10,C,1,6,TW5,TW5-C,AT39210C,,,8.5,36.3
AT39,2,10,C,2,6,TW5,TW5-C,AT39210C,,,4.3,5
AT39,2,10,D,1,6,TW5,TW5-D,AT39210D,,,9.8,40.3
AT39,2,10,D,2,6,TW5,TW5-D,AT39210D,,,0.2,5.2
AT39,2,10,E,1,5,TW10,TW10-E,AT39210E,,,16.4,68.9
AT39,2,10,E,2,5,TW10,TW10-E,AT39210E,,,0.3,6.1
AT39,2,10,F,1,5,TW10,TW10-F,AT39210F,,,17.7,75.1
AT39,2,10,F,2,5,TW10,TW10-F,AT39210F,,,0.1,5.2
AT39,2,10,G,1,3,TW15,TW15-G,AT39210G,,,28.6,122.3
AT39,2,10,G,2,3,TW15,TW15-G,AT39210G,,,0.4,4.5
AT39,2,10,H,1,3,TW15,TW15-H,AT39210H,,,27.4,113.3
AT39,2,10,H,2,3,TW15,TW15-H,AT39210H,,,0.1,3.6
AT39,2,10,Niskin,1,0,,,AT39210Niskin,,,1.4,10
AT39,2,10,Niskin,2,0,,,AT39210Niskin,,,0.3,3.8
AT39,2,200,Blank,1,0,,,AT392200Blank,,,0.4,9.8
AT39,2,200,Blank,2,0,,,AT392200Blank,,,0.1,3.2
AT39,2,200,Niskin,1,0,,,AT392200Niskin,,,0.3,9.5
AT39,2,200,Niskin,2,0,,,AT392200Niskin,,,0.1,7
AT39,3,10,A,1,9,Control,Control-A,AT39310A,,,1.3,9.2
AT39,3,10,A,2,9,Control,Control-A,AT39310A,,,0.1,3.5
AT39,3,10,B,1,9,Control,Control-B,AT39310B,,,1.5,11.2
AT39,3,10,B,2,9,Control,Control-B,AT39310B,,,0.1,3.6
AT39,3,10,Blank,1,0,,,AT39310Blank,,,0.1,2.6
AT39,3,10,Blank,2,0,,,AT39310Blank,,,0.1,3.4
AT39,3,10,Niskin,1,0,,,AT39310Niskin,,,0.6,4.9
AT39,3,10,Niskin,2,0,,,AT39310Niskin,,,0.4,3
AT39,4,10,A,1,9,Control,Control-A,AT39410A,,,1,9.2
AT39,4,10,A,2,9,Control,Control-A,AT39410A,,,0.1,4.4
