Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,cellsperL,sd_cellsperL,p_cellsperL,p_sdcellsperL
AT34,1,200,DB,10,Control,Control-B,240,225232874,21520144,,
AT34,1,200,DB,11,Control,Control-B,264,225786272,15608912,,
AT34,1,200,DB,12,Control,Control-B,312,233533840,18036201,,
AT34,1,200,DB,13,Control,Control-B,,,,,
AT34,1,200,DB,14,Control,Control-B,336,297174578,24058485,,
AT34,1,200,DB,15,Control,Control-B,408,,,,
AT34,1,200,DB,16,Control,Control-B,1152,,,,
AT34,1,200,DB,17,Control,Control-B,1632,,,,
AT34,1,200,DB,18,Control,Control-B,2760,,,,
AT34,1,200,GF75,12,Control,Control-B,312,121378568,18848047,,
AT34,2,10,Niskin,0,,,0,1778949495,193696434,,
AT34,2,10,GF75,0,,,0,819875364,59186310,,
AT34,2,10,SA,0,Control,Control-A,0,427350964,45461868,,
AT34,2,10,SA,1,Control,Control-A,24,613092639,60061052,,
AT34,2,10,SA,2,Control,Control-A,48,803575698,81658633,,
AT34,2,10,SA,3,Control,Control-A,72,1229101559,91536697,,
AT34,2,10,SA,4,Control,Control-A,96,1263389800,152507672,,
AT34,2,10,SA,5,Control,Control-A,120,1890469743,204167965,,
AT34,2,10,SA,6,Control,Control-A,144,2277431566,159262598,,
AT34,2,10,SA,7,Control,Control-A,168,2343268821,281212565,,
AT34,2,10,SA,8,Control,Control-A,192,2406418841,176264993,,
AT34,2,10,SA,9,Control,Control-A,216,1786505271,157098667,,
AT34,2,10,SA,10,Control,Control-A,264,1464005566,142762752,,
AT34,2,10,SA,11,Control,Control-A,288,1778949495,167002994,,
AT34,2,10,SA,12,Control,Control-A,336,921386577,48474952,,
AT34,2,10,SA,13,Control,Control-A,1080,,,,
AT34,2,10,SA,14,Control,Control-A,1584,,,,
AT34,2,10,SA,15,Control,Control-A,2688,,,,
AT34,2,10,GF75,9,Control,Control-A,216,350502018,73767816,,
AT34,2,10,SB,0,Control,Control-B,0,552290930,50639168,,
AT34,2,10,SB,1,Control,Control-B,24,682892793,32104488,,
AT34,2,10,SB,2,Control,Control-B,48,769222838,59647146,,
AT34,2,10,SB,3,Control,Control-B,72,1209174029,147024074,,
AT34,2,10,SB,4,Control,Control-B,96,1422232153,106128032,,
AT34,2,10,SB,5,Control,Control-B,120,1955338628,203005642,,
AT34,2,10,SB,6,Control,Control-B,144,2444173286,213002884,,
AT34,2,10,SB,7,Control,Control-B,168,2889965897,119512426,,
AT34,2,10,SB,8,Control,Control-B,192,2462619876,144530998,,
AT34,2,10,SB,9,Control,Control-B,216,1863105674,133870237,,
AT34,2,10,SB,10,Control,Control-B,264,1837280447,118976936,,
AT34,2,10,SB,11,Control,Control-B,288,1961487492,110185013,,
AT34,2,10,SB,12,Control,Control-B,336,889125678,79603446,,
AT34,2,10,SB,13,Control,Control-B,1080,,,,
AT34,2,10,SB,14,Control,Control-B,1584,,,,
AT34,2,10,SB,15,Control,Control-B,2688,,,,
AT34,2,10,GF75,9,Control,Control-B,216,340647044,33703651,,
AT34,2,10,SA12,0,TW12,TW12-A,0,417789028,42021028,,
AT34,2,10,SA12,1,TW12,TW12-A,24,577888738,55346117,,
AT34,2,10,SA12,2,TW12,TW12-A,48,915809649,77809256,,
AT34,2,10,SA12,3,TW12,TW12-A,72,1151211425,105851134,,
AT34,2,10,SA12,4,TW12,TW12-A,96,1737297354,213673197,,
AT34,2,10,SA12,5,TW12,TW12-A,120,2154004879,237181053,,
AT34,2,10,SA12,6,TW12,TW12-A,144,3370211715,253610971,,
AT34,2,10,SA12,7,TW12,TW12-A,168,3241264484,273594197,,
AT34,2,10,SA12,8,TW12,TW12-A,192,3124039729,329309077,,
AT34,2,10,SA12,9,TW12,TW12-A,216,3603234076,247995696,,
AT34,2,10,GF75,8,TW12,TW12-A,192,355191009,35727384,,
AT34,2,10,SB12,0,TW12,TW12-B,0,517980271,46094336,,
AT34,2,10,SB12,1,TW12,TW12-B,24,784164576,103112978,,
AT34,2,10,SB12,2,TW12,TW12-B,48,994271246,131720657,,
AT34,2,10,SB12,3,TW12,TW12-B,72,1264513802,105202187,,
AT34,2,10,SB12,4,TW12,TW12-B,96,2356551979,200958278,,
AT34,2,10,SB12,5,TW12,TW12-B,120,2001455106,302171449,,
AT34,2,10,SB12,6,TW12,TW12-B,144,3314237487,297654118,,
AT34,2,10,SB12,7,TW12,TW12-B,168,3375726123,203831712,,
AT34,2,10,SB12,8,TW12,TW12-B,192,3295790896,262799486,,
AT34,2,10,SB12,9,TW12,TW12-B,216,3603234076,247995696,,
AT34,2,10,GF75,8,TW12,TW12-B,192,384303976,44928333,,
AT34,2,10,SA13,0,TW13,TW13-A,0,284175089,19017765,,
AT34,2,10,SA13,1,TW13,TW13-A,24,392282549,76367793,,
AT34,2,10,SA13,2,TW13,TW13-A,48,974137717,139738596,,
AT34,2,10,SA13,3,TW13,TW13-A,72,1032086757,63967394,,
AT34,2,10,SA13,4,TW13,TW13-A,96,1737297354,213673197,,
AT34,2,10,SA13,5,TW13,TW13-A,120,2426573103,234883391,,
AT34,2,10,SA13,6,TW13,TW13-A,144,3584771339,186263267,,
AT34,2,10,SA13,7,TW13,TW13-A,168,3611643688,283881915,,
AT34,2,10,SA13,8,TW13,TW13-A,192,4869899980,504806349,,
AT34,2,10,SA13,9,TW13,TW13-A,216,3837371418,503022809,,
AT34,2,10,GF75,8,TW13,TW13-A,192,457904825,17743892,,
AT34,2,10,SB13,0,TW13,TW13-B,0,257053243,25971398,,
AT34,2,10,SB13,1,TW13,TW13-B,24,,,,
AT34,2,10,SB13,2,TW13,TW13-B,48,1005339200,86193822,,
AT34,2,10,SB13,3,TW13,TW13-B,72,904523263,51240996,,
AT34,2,10,SB13,4,TW13,TW13-B,96,2582522717,189520705,,
AT34,2,10,SB13,5,TW13,TW13-B,120,2891503113,383411354,,
AT34,2,10,SB13,6,TW13,TW13-B,144,4101292029,200925612,,
AT34,2,10,SB13,7,TW13,TW13-B,168,4722327254,547904808,,
AT34,2,10,SB13,8,TW13,TW13-B,192,4458122677,364613314,,
AT34,2,10,SB13,9,TW13,TW13-B,216,3837371418,503022809,,
AT34,2,10,GF75,8,TW13,TW13-B,192,457904825,17743892,,
AT34,2,200,Niskin,0,,,0,312669715,18538594,,
AT34,2,200,GF75,0,,,0,282924587,48451938,,
AT34,2,200,DA,0,Control,Control-A,0,96534586,7480832,,
AT34,2,200,DA,1,Control,Control-A,24,117898798,12185526,,
AT34,2,200,DA,2,Control,Control-A,48,106898204,13766408,,
AT34,2,200,DA,3,Control,Control-A,72,189127591,20067006,,
AT34,2,200,DA,4,Control,Control-A,96,257953074,22025312,,
AT34,2,200,DA,5,Control,Control-A,120,226856369,19002380,,
AT34,2,200,DA,6,Control,Control-A,144,209443087,12499542,,
AT34,2,200,DA,7,Control,Control-A,168,399630217,53207306,,
AT34,2,200,DA,8,Control,Control-A,192,302313925,15319596,,
AT34,2,200,DA,9,Control,Control-A,216,257601400,25899111,,
AT34,2,200,DA,10,Control,Control-A,264,312669715,28725790,,
AT34,2,200,DA,11,Control,Control-A,288,362224494,24449161,,
AT34,2,200,DA,12,Control,Control-A,336,245292801,19461604,,
AT34,2,200,DA,13,Control,Control-A,1080,,,,
AT34,2,200,DA,14,Control,Control-A,1584,,,,
AT34,2,200,DA,15,Control,Control-A,2688,,,,
AT34,2,200,GF75,10,Control,Control-A,264,47402823,17418589,,
AT34,2,200,DB,0,Control,Control-B,0,99334892,14609537,,
AT34,2,200,DB,1,Control,Control-B,24,100995085,17801199,,
AT34,2,200,DB,2,Control,Control-B,48,135029045,8730520,,
AT34,2,200,DB,3,Control,Control-B,72,222465886,16457833,,
AT34,2,200,DB,4,Control,Control-B,96,241281408,19556866,,
AT34,2,200,DB,5,Control,Control-B,120,228553260,26353458,,
AT34,2,200,DB,6,Control,Control-B,144,253456158,22258547,,
AT34,2,200,DB,7,Control,Control-B,168,392648862,23073919,,
AT34,2,200,DB,8,Control,Control-B,192,326504658,25426871,,
AT34,2,200,DB,9,Control,Control-B,216,283155169,23027474,,
AT34,2,200,DB,10,Control,Control-B,264,260231826,25472946,,
AT34,2,200,DB,11,Control,Control-B,288,320970681,24518473,,
AT34,2,200,DB,12,Control,Control-B,336,298834772,29166621,,
AT34,2,200,DB,13,Control,Control-B,1080,,,,
AT34,2,200,DB,14,Control,Control-B,1584,,,,
AT34,2,200,DB,15,Control,Control-B,2688,,,,
AT34,2,200,GF75,10,Control,Control-B,264,47402823,17418589,,
AT34,2,200,DA12,0,TW12,TW12-A,0,100718386,10204150,,
AT34,2,200,DA12,1,TW12,TW12-A,24,116766920,15367239,,
AT34,2,200,DA12,2,TW12,TW12-A,48,227999863,17066835,,
AT34,2,200,DA12,3,TW12,TW12-A,72,247368783,30762145,,
AT34,2,200,DA12,4,TW12,TW12-A,96,363103680,34439448,,
AT34,2,200,DA12,5,TW12,TW12-A,120,528494827,50433802,,
AT34,2,200,DA12,6,TW12,TW12-A,144,545095112,90232608,,
AT34,2,200,DA12,7,TW12,TW12-A,168,774520705,69748724,,
AT34,2,200,DA12,8,TW12,TW12-A,192,582900096,49656481,,
AT34,2,200,DA12,9,TW12,TW12-A,216,547863748,47668567,,
AT34,2,200,DA12,10,TW12,TW12-A,264,859843580,42630181,,
AT34,2,200,GF75,10,TW12,TW12-A,264,62773856,3617861,,
AT34,2,200,DB12,0,TW12,TW12-B,0,100718386,10204150,,
AT34,2,200,DB12,1,TW12,TW12-B,24,,,,
AT34,2,200,DB12,2,TW12,TW12-B,48,226302390,19173505,,
AT34,2,200,DB12,3,TW12,TW12-B,72,214169628,15569283,,
AT34,2,200,DB12,4,TW12,TW12-B,96,,,,
AT34,2,200,DB12,5,TW12,TW12-B,120,477397816,62415990,,
AT34,2,200,DB12,6,TW12,TW12-B,144,,,,
AT34,2,200,DB12,7,TW12,TW12-B,168,810332383,93427799,,
AT34,2,200,DB12,8,TW12,TW12-B,192,783057781,52661705,,
AT34,2,200,DB12,9,TW12,TW12-B,216,,,,
AT34,2,200,DB12,10,TW12,TW12-B,264,857766474,94959638,,
AT34,2,200,GF75,10,TW12,TW12-B,264,51097057,6273649,,
AT34,2,200,DA13,0,TW13,TW13-A,0,94631011,14513142,,
AT34,2,200,DA13,1,TW13,TW13-A,24,103919746,14510559,,
AT34,2,200,DA13,2,TW13,TW13-A,48,180420950,26596296,,
