Season,Cruise,Station,initial.doc_mean,longterm.del.doc_mean,shortterm.del.doc_mean,accm.doc_mean,shortterm.bioav.doc_mean,longterm.bioav.doc_mean,persis.doc_mean,percent_persis.doc_mean,shortterm.ddoc_mean,longterm.ddoc_mean,initial.doc_sd,longterm.del.doc_sd,shortterm.del.doc_sd,accm.doc_sd,shortterm.bioav.doc_sd,longterm.bioav.doc_sd,persis.doc_sd,percent_persis.doc_sd,shortterm.ddoc_sd,longterm.ddoc_sd
Early Autumn,AT38,0,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,1,66.94999999999999,6.699999999999996,4.299999999999994,12.249999999999986,35.10204081632652,54.693877551020435,5.54999999999999,45.306122448979565,614.2857142857134,97.10144927536226,0.21213203435596226,1.131370849898472,0.42426406871191946,0,3.463380152750368,9.235680407334474,1.131370849898472,9.235680407334474,60.609152673131405,16.396678984035827
Early Autumn,AT38,1.5,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,2,74,8.400000000000006,4.200000000000003,18.1,23.204419889502777,46.40883977900555,9.699999999999996,53.591160220994446,600.0000000000005,123.52941176470597,0.5656854249492259,0.9899494936611706,0,0,0,5.469334219122481,0.9899494936611706,5.469334219122486,0,14.558080789134866
Early Autumn,AT38,3,67.55,5.650000000000002,2.5,13.349999999999994,18.726591760299634,42.322097378277185,7.699999999999992,57.677902621722815,500,85.60606060606065,1.4849242404917458,0.7778174593052033,0.5656854249492259,0,4.237344007110307,5.826348009776806,0.7778174593052033,5.826348009776806,113.13708498984519,11.785113019775816
Early Autumn,AT38,3.5,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,4,65.55000000000001,4.550000000000001,NA,13.95000000000001,NA,32.61648745519712,9.40000000000001,67.38351254480288,NA,71.09375,0.6363961030678867,0.9192388155425048,NA,0,NA,6.589525559444477,0.9192388155425048,6.589525559444471,NA,14.363106492851635
Early Autumn,AT38,4.5,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,5,69.6,NA,NA,13.599999999999994,NA,NA,NA,NA,NA,NA,0.28284271247462306,NA,NA,0,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,5.5,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Autumn,AT38,6,60.099999999999994,5.4999999999999964,2.5500000000000007,7.3999999999999915,34.45945945945951,74.32432432432435,1.899999999999995,25.675675675675638,318.7500000000001,93.2203389830508,0.282842712474618,0.848528137423854,0.21213203435596728,0,2.866649112918483,11.466596451673718,0.848528137423854,11.466596451673714,26.516504294495896,14.381832837692443
Early Spring,AT39,1,60.349999999999994,6.300000000000001,3.9499999999999993,4.249999999999993,92.94117647058837,148.23529411764733,-2.050000000000008,-48.23529411764732,493.74999999999994,75,0.6363961030678917,0.848528137423854,0.21213203435596728,0,4.991341984846301,19.96536793938484,0.848528137423854,19.96536793938483,26.516504294495935,10.101525445522071
Early Spring,AT39,2,58.3,3.799999999999997,NA,3.299999999999997,NA,115.15151515151516,-0.5,-15.151515151515165,NA,45.78313253012045,0.14142135623731153,0.14142135623731153,NA,0,NA,4.285495643554895,0.14142135623731153,4.285495643554897,NA,1.7038717618953265
Early Spring,AT39,2.1,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early Spring,AT39,3,58.2,3.849999999999998,NA,4.200000000000003,NA,91.66666666666656,0.350000000000005,8.333333333333448,NA,46.951219512195095,0.282842712474618,0.49497474683058024,NA,0,NA,11.785113019775705,0.49497474683058024,11.785113019775714,NA,6.036277400372929
Early Spring,AT39,4,56.5,2.4999999999999964,NA,2.5,NA,99.99999999999986,3.552713678800501e-15,1.4210854715202004e-13,NA,24.999999999999964,0.282842712474618,0.4242640687119295,NA,0,NA,16.97056274847717,0.4242640687119295,16.97056274847718,NA,4.242640687119295
Late Spring,AT34,0,NA,NA,NA,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Late Spring,AT34,1,54.5,3.25,2.5500000000000007,3.299999999999997,77.27272727272737,98.48484848484856,0.04999999999999716,1.5151515151514303,318.7500000000001,221.94570135746613,0.9899494936611706,0.2121320343559723,0.4949747468305903,0,14.999234752442131,6.428243465332503,0.2121320343559723,6.4282434653325,61.871843353823756,55.99261841974982
Late Spring,AT34,2,57.3,2.150000000000002,NA,6.899999999999999,NA,31.159420289855106,4.7499999999999964,68.8405797101449,NA,153.57142857142873,0.4242640687119295,0.6363961030678917,NA,0,NA,9.22313192852017,0.6363961030678917,9.22313192852017,NA,45.456864504849406
Late Spring,AT34,3,60.3,2.349999999999998,2.4999999999999964,7.899999999999999,31.645569620253127,29.746835443037956,5.550000000000001,70.25316455696205,249.99999999999966,79.02097902097886,0,0.9192388155425147,0.565685424949241,0,7.160574999357483,11.635934373955887,0.9192388155425147,11.635934373955882,56.568542494924124,73.18307945147461
Late Spring,AT34,4,54.1,NA,NA,2.8000000000000043,NA,NA,NA,NA,NA,NA,0.848528137423859,NA,NA,0,NA,NA,NA,NA,NA,NA
Late Spring,AT34,5,65.65,3.9499999999999993,2.599999999999998,11.650000000000006,22.317596566523576,33.90557939914161,7.700000000000006,66.09442060085838,433.333333333333,37.980769230769226,0.4949747468305853,1.0606601717798163,0.282842712474618,0,2.427834441842212,9.10437915690829,1.0606601717798163,9.104379156908289,47.14045207910298,10.19865549788285
